Gene stable ID,Transcript stable ID,Exon region start (bp),Exon region end (bp),Genomic coding start,Genomic coding end,Exon stable ID
ENSG00000123395,ENST00000552947,52070354,52071434,,,ENSE00002380928
ENSG00000123395,ENST00000552544,52069976,52070483,,,ENSE00002411329
ENSG00000140105,ENST00000554605,100361817,100361921,100361817,100361921,ENSE00002507235
ENSG00000134138,ENST00000397624,37097967,37098321,37097967,37097970,ENSE00002566270
ENSG00000197943,ENST00000570198,81895619,81895927,,,ENSE00002578375
ENSG00000197943,ENST00000563834,81938478,81938551,,,ENSE00002594313
ENSG00000138621,ENST00000567336,75049150,75049538,75049150,75049235,ENSE00002597962
ENSG00000128731,ENST00000569335,28229195,28229516,,,ENSE00002602345
ENSG00000141013,ENST00000568705,90032718,90032892,,,ENSE00002605979
ENSG00000087250,ENST00000566576,56589545,56589621,,,ENSE00002607253
ENSG00000087250,ENST00000561640,56589526,56589621,56589526,56589621,ENSE00002608962
ENSG00000065057,ENST00000562951,2039821,2040047,,,ENSE00002610553
ENSG00000065057,ENST00000568513,2039821,2040047,,,ENSE00002610553
ENSG00000263014,ENST00000575971,198534829,198535052,198534879,198535052,ENSE00002679680
ENSG00000177337,ENST00000575606,3597176,3597372,,,ENSE00002683586
ENSG00000177337,ENST00000576606,3597176,3597372,,,ENSE00002683586
ENSG00000177337,ENST00000574411,3597176,3597372,,,ENSE00002683586
ENSG00000105612,ENST00000588777,12875936,12876363,,,ENSE00002787578
ENSG00000091947,ENST00000592127,44023039,44023139,,,ENSE00002799112
ENSG00000091947,ENST00000586174,44019238,44019442,,,ENSE00002812425
ENSG00000153446,ENST00000472572,5065701,5065956,5065701,5065908,ENSE00002820137
ENSG00000091947,ENST00000585950,44021322,44021435,,,ENSE00002841792
ENSG00000142449,ENST00000594331,8111648,8111806,,,ENSE00003055626
ENSG00000090661,ENST00000600912,8209376,8209494,,,ENSE00003173150
ENSG00000167749,ENST00000596876,50909240,50909382,,,ENSE00003183533
ENSG00000077009,ENST00000593949,3942083,3942369,3942083,3942273,ENSE00003209863
ENSG00000125651,ENST00000598607,6392984,6393141,6392984,6392995,ENSE00003213159
ENSG00000149357,ENST00000539797,72099111,72099256,,,ENSE00003472623
ENSG00000149357,ENST00000541403,72099111,72099256,,,ENSE00003472623
ENSG00000228964,ENST00000437265,31349020,31349295,31349020,31349295,ENSE00003482045
ENSG00000228964,ENST00000421349,31349020,31349295,31349020,31349295,ENSE00003482045
ENSG00000142449,ENST00000594331,8111058,8111183,,,ENSE00003483769
ENSG00000127191,ENST00000482854,136909920,136909994,,,ENSE00003488699
ENSG00000127191,ENST00000469701,136909920,136909994,,,ENSE00003488699
ENSG00000183036,ENST00000328619,39928984,39929392,39928984,39929111,ENSE00003509580
ENSG00000137332,ENST00000400411,30880861,30881008,30880861,30881008,ENSE00003516550
ENSG00000137332,ENST00000400410,30880861,30881008,30880861,30881008,ENSE00003516550
ENSG00000137332,ENST00000383377,30880861,30881008,30880861,30881008,ENSE00003516550
ENSG00000137332,ENST00000259875,30880861,30881008,30880861,30881008,ENSE00003516550
ENSG00000137332,ENST00000400414,30880861,30881008,30880861,30881008,ENSE00003516550
ENSG00000137332,ENST00000419285,30880861,30881008,30880861,30881008,ENSE00003516550
ENSG00000137332,ENST00000552721,30880861,30881008,30880861,30881008,ENSE00003516550
ENSG00000137332,ENST00000553015,30880861,30881008,30880861,30881008,ENSE00003516550
ENSG00000137332,ENST00000620318,30880861,30881008,30880861,30881008,ENSE00003516550
ENSG00000137332,ENST00000616404,30880861,30881008,30880861,30881008,ENSE00003516550
ENSG00000151418,ENST00000367382,198523222,198523564,198523391,198523564,ENSE00003516824
ENSG00000204310,ENST00000395496,32170937,32171070,32170937,32171070,ENSE00003522571
ENSG00000204310,ENST00000375107,32170937,32171070,32170937,32171070,ENSE00003522571
ENSG00000204310,ENST00000395499,32170937,32171070,32170937,32171070,ENSE00003522571
ENSG00000204310,ENST00000375104,32170937,32171070,32170937,32171070,ENSE00003522571
ENSG00000204310,ENST00000395497,32170937,32171070,32170937,32171070,ENSE00003522571
ENSG00000204310,ENST00000336984,32170937,32171070,32170937,32171070,ENSE00003522571
ENSG00000141013,ENST00000561675,90031190,90031496,90031458,90031496,ENSE00003524044
ENSG00000204310,ENST00000395496,32168212,32169448,32169276,32169448,ENSE00003552394
ENSG00000204310,ENST00000375107,32168212,32169448,32169276,32169448,ENSE00003552394
ENSG00000204310,ENST00000395499,32168212,32169448,32169276,32169448,ENSE00003552394
ENSG00000204310,ENST00000375104,32168212,32169448,32169276,32169448,ENSE00003552394
ENSG00000204310,ENST00000395497,32168212,32169448,32169276,32169448,ENSE00003552394
ENSG00000204310,ENST00000336984,32168212,32169448,32169276,32169448,ENSE00003552394
ENSG00000229295,ENST00000415996,33234782,33235045,33234782,33235045,ENSE00003557549
ENSG00000229295,ENST00000447783,33234782,33235045,33234782,33235045,ENSE00003557549
ENSG00000229295,ENST00000445925,33234782,33235045,33234782,33235045,ENSE00003557549
ENSG00000224398,ENST00000422261,31745598,31745787,31745598,31745787,ENSE00003581090
ENSG00000224398,ENST00000422567,31745598,31745787,31745598,31745787,ENSE00003581090
ENSG00000224398,ENST00000416194,31745598,31745787,31745598,31745787,ENSE00003581090
ENSG00000224398,ENST00000431476,31745598,31745787,31745598,31745787,ENSE00003581090
ENSG00000224398,ENST00000436169,31745598,31745787,31745598,31745787,ENSE00003581090
ENSG00000224398,ENST00000621203,31745598,31745787,31745598,31745787,ENSE00003581090
ENSG00000263014,ENST00000573121,198534710,198535052,198534879,198535052,ENSE00003606504
ENSG00000167749,ENST00000598305,50908579,50908829,50908579,50908768,ENSE00003611602
ENSG00000167749,ENST00000593885,50908579,50908829,50908579,50908768,ENSE00003611602
ENSG00000138678,ENST00000395226,83536504,83536763,83536623,83536763,ENSE00003624178
ENSG00000138678,ENST00000611707,83536504,83536763,83536623,83536763,ENSE00003624178
ENSG00000182240,ENST00000330333,41275371,41282530,41275371,41275624,ENSE00003637712
ENSG00000170345,ENST00000303562,75278828,75279123,75278983,75279123,ENSE00003641426
ENSG00000170345,ENST00000554212,75278828,75279123,75278983,75279123,ENSE00003641426
ENSG00000170345,ENST00000535987,75278828,75279123,75278983,75279123,ENSE00003641426
ENSG00000213626,ENST00000406087,30231537,30231764,30231739,30231764,ENSE00003657594
ENSG00000213626,ENST00000404397,30231537,30231764,30231739,30231764,ENSE00003657594
ENSG00000242086,ENST00000595086,195733150,195733551,,,ENSE00003692823
ENSG00000242086,ENST00000600197,195733150,195733551,,,ENSE00003692823
ENSG00000273722,ENST00000621671,54173481,54173612,54173481,54173559,ENSE00003717190
ENSG00000273722,ENST00000621671,54160592,54160858,54160790,54160858,ENSE00003719210
ENSG00000263014,ENST00000367381,198534712,198535052,198534879,198535052,ENSE00003720750
ENSG00000273722,ENST00000612109,54160592,54160858,,,ENSE00003729726
ENSG00000273722,ENST00000619510,54160592,54160858,,,ENSE00003729726
ENSG00000273722,ENST00000616162,54160592,54160858,,,ENSE00003729726
ENSG00000276914,ENST00000622266,15950862,15952658,15952582,15952658,ENSE00003743010
ENSG00000279579,ENST00000624813,8759081,8759261,,,ENSE00003757092
ENSG00000204464,ENST00000625027,15168474,15168777,,,ENSE00003758055
ENSG00000281603,ENST00000626201,195701380,195701669,,,ENSE00003761287
ENSG00000281603,ENST00000625611,195701380,195701669,,,ENSE00003761287
ENSG00000281603,ENST00000626803,195701380,195701669,,,ENSE00003761287
ENSG00000281603,ENST00000628220,195701380,195701669,,,ENSE00003761287
ENSG00000281603,ENST00000625966,195701380,195701669,,,ENSE00003761287
ENSG00000280993,ENST00000625336,195700321,195701669,,,ENSE00003761336
ENSG00000280512,ENST00000629864,195708134,195708468,,,ENSE00003762392
ENSG00000280512,ENST00000629970,195708147,195708435,,,ENSE00003763800
ENSG00000153822,ENST00000283936,70131995,70135603,70132088,70133344,ENSE00003765602
ENSG00000153822,ENST00000392671,70131995,70135603,70132088,70133344,ENSE00003765602
ENSG00000153822,ENST00000615244,70131995,70135603,70132088,70133344,ENSE00003765602
ENSG00000153822,ENST00000392670,70131995,70135603,70132088,70133344,ENSE00003765602
ENSG00000242086,ENST00000593988,195708178,195708841,,,ENSE00003767429
ENSG00000280993,ENST00000630867,195714564,195715146,,,ENSE00003768343
ENSG00000281915,ENST00000625374,195688111,195688797,,,ENSE00003770284
ENSG00000280993,ENST00000625509,195663624,195663832,,,ENSE00003771157
ENSG00000280993,ENST00000626575,195708125,195708798,,,ENSE00003772592
ENSG00000280993,ENST00000629004,195708125,195708798,,,ENSE00003772592
ENSG00000280993,ENST00000629466,195708125,195708798,,,ENSE00003772592
ENSG00000281915,ENST00000629697,195698663,195699207,,,ENSE00003775225
